Countycode,County,Jurisdiction (NCIC),BCS number,ID,Victim Number,Month of Report,Year of Report,Total Victim,Total Suspects,Gender,W_Race/Ethnicity,Race/Ethnicity,Age,Crime Status,Victim/Offender Relationship #1,Victim/Offender Relationship #2,Victim/Offender Relationship #3,Victim/Offender Relationship #4,Month of Incident,Day of month of Incident,Year of Incident,Day of week,Year of Death,Means of death,Location,Precipitating Event,Special Circumstance
01,Alameda,0101,00068,010100068,1,2,2001,1,1,female,White,White,34,1,Ex-wife,,,,2,22,2001,5,2001,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,The suspect/offender intentionally killed the victim while lying in wait.
01,Alameda,0109,00678,010900678,1,6,2001,1,1,female,Black or African American,Black,46,1,Girlfriend,,,,6,5,2001,3,2001,Handgun (pistol/revolver),Other commercial business,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01098,010901098,1,8,2001,1,1,male,Black or African American,Black,58,1,Boyfriend,,,,8,16,2001,5,2001,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01276,010901276,1,9,2001,1,1,male,Black or African American,Black,41,1,Boyfriend,,,,9,28,2001,6,2001,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01661,010901661,1,10,2001,1,1,female,Black or African American,Black,43,1,Girlfriend,,,,10,23,2001,3,2001,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01766,010901766,1,11,2001,1,1,female,Black or African American,Black,43,1,Wife,,,,11,25,2001,1,2001,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0101,04032,010104032,1,6,2002,1,1,female,Asian,Other Asian,30,1,Girlfriend,,,,6,9,2002,1,2002,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0103,02397,010302397,1,12,2002,1,1,male,White,White,43,1,Husband,,,,12,18,2002,4,2002,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,00055,010900055,1,2,2002,2,1,female,Black or African American,Black,38,1,Acquaintance,,,,2,18,2002,2,2002,Knife or other stabbing instrument,Residence of offender,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,00055,010900055,2,2,2002,2,1,female,Black or African American,Black,33,1,Wife,,,,2,18,2002,2,2002,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,00359,010900359,1,3,2002,1,1,female,Black or African American,Black,41,1,"Other, known to Victim",,,,3,29,2002,6,2002,Handgun (pistol/revolver),Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01628,010901628,1,9,2002,1,1,female,Asian,Vietnamese,27,1,Girlfriend,,,,9,1,2002,1,2002,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0111,02177,011102177,1,12,2002,1,1,female,White,White,30,1,Girlfriend,,,,12,13,2002,6,2002,Knife or other stabbing instrument,"Hotel, motel",Domestic Violence,Non-death penalty homicide.
01,Alameda,0112,01106,011201106,1,7,2002,1,1,female,Asian,Filipino,38,1,Wife,,,,7,26,2002,6,2002,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0100,01268,010001268,1,7,2003,1,1,male,White,White,37,1,Homosexual relationship,,,,7,27,2003,1,2003,Other,Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,00370,010900370,1,3,2003,1,1,female,Black or African American,Black,22,1,Girlfriend,,,,3,16,2003,1,2003,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,00547,010900547,1,4,2003,1,1,female,Black or African American,Black,26,1,Wife,,,,4,10,2003,5,2003,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
